feature,importance_mean,importance_std
RH_3,0.10063135113039332,0.01904297970873191
RH_1,0.08719126059354579,0.02786716060119175
hour_cos,0.08121114991646061,0.014461031578401465
hour_sin,0.06796409308482303,0.009631209951903847
T3,0.0516955156244552,0.01648042317566705
lag_24,0.04688243134784544,0.006020513956811589
RH_4,0.0370035228352195,0.019466405995205178
RH_6,0.030566690812210574,0.0060372355034155395
hour,0.02870106751069488,0.00662239947081287
roll_mean_24,0.018851040093631855,0.011938870014958556
RH_7,0.015224988579747278,0.01100027685872842
lights,0.013690177191307806,0.012485725953372457
lag_168,0.012131965371059294,0.0015060844139231126
RH_2,0.010868284937471806,0.008245631371772059
roll_mean_168,0.010622316361273731,0.0021246156515442325
RH_out,0.009999719562413679,0.0019117434180014462
dow_sin,0.008472679643052561,0.005691789455700947
RH_8,0.005957327152674341,0.00402654461621762
lag_48,0.0052240761779392296,0.0038700072950859127
Windspeed,0.0032732366393951385,0.005429938311624293
dow_cos,0.002714436458761926,0.0006661806609783461
T8,0.0024717735676133223,0.0008450472544980381
RH_5,0.0019534591337493357,0.001328976081354651
Visibility,0.0013349300378028505,0.0014785896677523766
RH_9,0.0012643570516318813,0.0019009490146948266
T5,0.0008269126271502669,0.0022907983002112635
roll_std_24,0.0006630932406322288,0.0007463001456323881
rv1,0.0003760428305376484,0.0019230718945947817
T6,0.00020116329816171062,0.00015986418345755775
is_weekend,0.0,0.0
T4,0.0,0.0
rv2,0.0,0.0
T7,0.0,0.0
T9,0.0,0.0
Tdewpoint,-8.871573921545028e-05,0.0004953236856230636
Press_mm_hg,-0.000603248614385099,0.0009320831928440706
dayofweek,-0.0013356763092108315,0.003206582011659332
roll_std_168,-0.002130532816917041,0.0029728924961131614
T1,-0.003215902814650562,0.001309511745418871
T_out,-0.005344099843485073,0.0021312220373835306
T2,-0.04400959935565045,0.018740411316088765
