,coefficient,std_err,p_value
intercept,0.06252663851957661,0.09471931476384622,0.5091732721430617
T_out,-6.40992703596657,5.873851258187557,0.27515638792715735
RH_out,0.3095273624108923,1.2360977532152273,0.8022727217015315
Windspeed,0.6557048304842241,1.391656695098692,0.6375203944704745
Visibility,-1.141200801823444,0.16854404459771993,1.2795259126201449e-11
Tdewpoint,6.637224148613312,6.0524802013266115,0.27281091451250494
ar.L1,0.6895099114125504,0.0464571211441588,7.855194405280484e-50
ma.L1,-0.3059558436139715,0.049824469083112825,8.21718432687444e-10
ma.L2,0.10436421728329585,0.023419174656089902,8.33639254441313e-06
ma.L3,-0.008678960161238907,0.025475575422306267,0.7333462365606507
ar.S.L24,-0.004354796061879381,0.017313537420943423,0.8014078538252822
ma.S.L24,-0.9558858956136206,0.007212728751951301,0.0
sigma2,4725.749728245577,83.94185796792443,0.0
