p,d,q,aic,converged
0,0,0,34402.95575246126,True
0,0,1,33669.711684868365,True
0,0,2,33281.720690693255,True
0,0,3,33132.78357311034,True
0,0,4,33083.13948555129,True
0,0,5,33045.62690267629,True
0,0,6,33030.99682323748,True
0,1,0,33903.56273247466,True
0,1,1,33411.61430769054,True
0,1,2,33399.834792992544,True
0,1,3,33267.59187544646,True
0,1,4,33114.14722577088,True
0,1,5,33061.2565565876,True
0,1,6,33029.884232477285,True
0,2,0,36864.280879226615,True
0,2,1,33891.354506446456,True
0,2,2,33400.2871782102,False
0,2,3,33384.8521271629,True
0,2,4,33309.82652502729,True
0,2,5,33205.74197038761,True
0,2,6,33159.29617894637,True
1,0,0,33219.70877583846,True
1,0,1,33114.997459597245,True
1,0,2,33069.82834156252,True
1,0,3,33061.3010871928,True
1,0,4,33053.15084932453,True
1,0,5,33039.326796723486,True
1,0,6,33026.825194322686,True
1,1,0,33473.749454124874,True
1,1,1,33215.02259366578,True
1,1,2,33116.81915780821,True
1,1,3,33056.55517230877,True
1,1,4,33055.37161501991,True
1,1,5,33036.27985006237,True
1,1,6,33024.7714072105,True
1,2,0,35205.75427558548,True
1,2,1,33461.481164301775,True
1,2,2,33324.47215800178,False
1,2,3,33388.09877412277,True
1,2,4,33120.74375464337,False
1,2,5,33263.98512954133,True
1,2,6,33159.95648788723,True
2,0,0,33089.86990019241,True
2,0,1,33090.02169448791,True
2,0,2,33072.37085582421,True
2,0,3,33063.051111875044,True
2,0,4,33054.85440340909,True
2,0,5,33053.17416860198,True
2,0,6,33028.32103308698,True
2,1,0,33441.27313390225,True
2,1,1,33087.905009562775,True
2,1,2,33075.029709881084,True
2,1,3,33058.31304124953,True
2,1,4,33041.748064771586,True
2,1,5,33004.438361853594,False
2,1,6,33023.54617919812,True
2,2,0,34651.63896527974,False
2,2,1,33440.13087328988,True
2,2,2,33204.27105118826,True
2,2,3,33260.2586353181,True
2,2,4,33083.797723843774,False
2,2,5,33144.834590980565,True
2,2,6,33260.25857269706,True
3,0,0,33076.38437331338,True
3,0,1,,False
3,0,2,33073.632471149314,True
3,0,3,33065.04486540478,True
3,0,4,33055.66940422842,True
3,0,5,33040.29068341872,True
3,0,6,33030.20522084588,True
3,1,0,33416.93828299841,True
3,1,1,197283.60319246555,False
3,1,2,33078.07856978588,True
3,1,3,33060.23045006591,True
3,1,4,33044.070464600576,False
3,1,5,33046.0769349799,True
3,1,6,33012.33051672088,True
3,2,0,34417.60403293841,True
3,2,1,,False
3,2,2,33100.54545543168,True
3,2,3,33094.435559953126,False
3,2,4,33136.88191166718,True
3,2,5,33204.11898466572,False
3,2,6,33096.22219388639,True
4,0,0,33060.02138958438,True
4,0,1,1439834977458.759,False
4,0,2,33060.14223173815,True
4,0,3,33062.2860509424,True
4,0,4,33049.47271513548,True
4,0,5,33038.24717761028,True
4,0,6,33025.231100547644,False
4,1,0,33373.3162036333,True
4,1,1,,False
4,1,2,33059.42595952324,True
4,1,3,33048.05918293714,True
4,1,4,33033.943295658566,True
4,1,5,33064.32711247454,True
4,1,6,33014.80758286317,False
4,2,0,34230.651932242254,True
4,2,1,,False
4,2,2,33118.69285382498,True
4,2,3,33224.22438136298,True
4,2,4,33131.0232840076,True
4,2,5,33265.0354757314,False
4,2,6,33378.05032450808,True
5,0,0,33051.42073805927,True
5,0,1,33053.424617187484,True
5,0,2,33049.19306172248,True
5,0,3,32971.713193062984,True
5,0,4,32973.518686673226,True
5,0,5,33046.93925425605,True
5,0,6,33010.984110996484,True
5,1,0,33338.74763800402,True
5,1,1,,False
5,1,2,,False
5,1,3,33037.60471819519,True
5,1,4,33035.72085963806,False
5,1,5,33035.66573334424,False
5,1,6,33016.43861940543,False
5,2,0,34094.67506773411,True
5,2,1,,False
5,2,2,,False
5,2,3,33189.2904870155,True
5,2,4,33212.62791575573,True
5,2,5,33103.96231356109,False
5,2,6,33119.91686355791,False
6,0,0,33035.006317915875,True
6,0,1,33036.96338169508,True
6,0,2,33036.57509121421,True
6,0,3,32967.27925263664,True
6,0,4,33032.03187723746,False
6,0,5,33014.77757818345,False
6,0,6,33016.0618774944,False
6,1,0,33306.55027547026,True
6,1,1,,False
6,1,2,,False
6,1,3,33050.36365432285,False
6,1,4,33040.67702154291,False
6,1,5,33050.6255296562,False
6,1,6,33006.49508174508,False
6,2,0,33959.09098972174,True
6,2,1,,False
6,2,2,,False
6,2,3,33108.046572773485,False
6,2,4,33160.068802266294,True
6,2,5,33102.63397231222,False
6,2,6,33070.78842092865,True
